level,GEO_ID,NAME,st,cnty,gini_est,gini_moe,md_cfm_inc_est,md_cfm_inc_moe,unins_ch_c_est,unins_ch_c_moe,unins_ch_est,unins_ch_moe,u5_fmpv_c_est,u5_fmpv_c_moe,u5_fmpv_est,u5_fmpv_moe,pub_ast_c_est,pub_ast_c_moe,pub_ast_est,pub_ast_moe,hc_brdn_c_est,hc_brdn_c_moe,hc_brdn_est,hc_brdn_moe,u5_pv_c_est,u5_pv_c_moe,u5_pv_est,u5_pv_moe,u18_2pv_c_est,u18_2pv_c_moe,u18_2pv_est,u18_2pv_moe,u5_fm185pv_c_est,u5_fm185pv_c_moe,u5_fm185pv_est,u5_fm185pv_moe,u6_2pv_c_est,u6_2pv_c_moe,u6_2pv_est,u6_2pv_moe,u6_pv_c_est,u6_pv_c_moe,u6_pv_est,u6_pv_moe,u5_ch185pv_c_est,u5_ch185pv_c_moe,u5_ch185pv_est,u5_ch185pv_moe,u6_apilf_c_est,u6_apilf_c_moe,u6_apilf_est,u6_apilf_moe,u5_fp185_est,u5_fp185_moe,u5_fp185_c_est,u5_fp185_c_moe,u6_1prt_est,u6_1prt_moe,u6_1prt_c_est,u6_1prt_c_moe
county,0500000US55001,"Adams County, Wisconsin",55,001,0.4181,0.0121,73906,8481,36,24.4131112314674,4.73061760840999,3.19080109153916,135,56.4977875673021,15.2887882219706,6.09994654974731,263,64,2.86617262423714,0.69062962048516,2540,223.022420397591,27.6809067131648,2.2408616113787,191,52.1536192416212,0.30173775671406,0.074815990812359,1277,167.624580536388,44.2787794729542,5.51026742283575,250,86.0639297266863,55.3097345132743,14.5103734056109,427,97.3806962390391,56.4814814814815,12.3717827527411,279,83.168503653727,36.9047619047619,10.7486906630803,394,93.8456179051531,52.1164021164021,11.9642883446183,425,79.9124520960282,59.9435825105783,10.4821819709936,55.011135857461,14.6344733919542,247,85.9185660960424,27.431421446384,7.86228544968622,110,39.8120584747888
county,0500000US55003,"Ashland County, Wisconsin",55,003,0.4447,0.0236,82933,15240,23,19.313207915828,2.17186024551464,1.81259289167748,119,59.0762219509677,10.9879963065559,5.22488861353563,104,58,1.51913526146655,0.846214881195905,1628,199.677239564253,23.7803096698802,2.84502696297463,176,66.7083203206317,0.207302709069494,0.0742229047183562,1530,234.557029312703,45.6035767511177,6.60710686400779,281,94.5938687230838,41.0818713450292,11.0897579117753,555,152.141381615917,53.831231813773,13.9348871436528,285,122.645831563898,27.643064985451,11.6315429738871,498,146.22927203539,48.3026188166828,13.4974214938211,614,126.352681016273,65.668449197861,12.1916808881322,41.0818713450292,11.0969649579299,281,94.6414285606467,28.9968652037618,9.64826872269193,185,72.4775827411483
county,0500000US55005,"Barron County, Wisconsin",55,005,0.4396,0.014,72351,7052,144,43.5660418215839,4.59770114942529,1.36122125918152,347,101.906820183931,10.5151515151515,2.94755028597182,464,161,2.4170443298432,0.837893874225041,4776,387.749919406826,24.8788873261447,1.98530502404964,485,112.445542374965,0.206382978723404,0.0447426155245803,4328,506.83725198529,44.1993464052288,4.99347122109655,788,163.297274931335,43.6323366555925,7.16921816175405,1576,317.417705870356,51.8080210387903,10.039406520024,857,223.635864744455,28.172255095332,7.18708109053807,1375,281.847476483292,45.2005259697567,8.92673113671197,2292,325.416655996585,77.4586008786752,10.0335947829241,42.5183512140034,7.29396881612224,753,161.127278882255,37.1635610766046,7.9809959002481,718,179.482589684905
county,0500000US55007,"Bayfield County, Wisconsin",55,007,0.4299,0.0138,77202,6580,25,14.2126704035519,2.96208530805687,1.67620554542632,89,33.5111921602321,9.13757700205339,3.31332291147504,164,38,2.17017334921265,0.499875997274327,1810,145.928064470135,23.951303427286,1.83473456428726,73,26.2488094968134,0.108955223880597,0.038334969045532,1039,132.582050067119,38.9138576779026,4.76946179937688,224,58.9151932866218,40.2877697841727,8.57724201619058,333,76.791926658992,39.9759903961585,8.98478629782783,198,57.0438427878067,23.7695078031212,6.7371793771661,311,75.683551713698,37.3349339735894,8.87890309335846,606,91.3783344124853,73.0120481927711,10.3392467628369,39.5264116575592,8.73176740560892,217,58.7026404857567,28.6713286713287,8.1807880181304,164,52.7825728815866
county,0500000US55009,"Brown County, Wisconsin",55,009,0.4351,0.0121,93933,2785,555,181.727818453862,2.85890897851955,0.933773693232867,1673,323.379034570889,7.9776834676458,1.50097469270263,2467,416,2.26131113881352,0.381140715656661,26533,1403.55334775704,24.3207816968542,1.28052415249046,2340,401.220637554949,0.148807631160572,0.0249213116338541,19487,1454.01891321949,31.6352538190555,2.28763061916054,3740,499.023045560022,31.7029753327117,3.61623657292736,6727,927.441103251306,35.2014652014652,4.77296976029316,3212,572.911860585902,16.8079539508111,2.96846837738449,6140,907.770345406811,32.1297749869178,4.68204836699258,13659,970.670386897633,72.8324624080196,4.80866515497794,30.1759251234942,3.49653834026971,3482,470.060634386672,28.1073446327684,3.34193448792027,3383,446.401164873032
county,0500000US55011,"Buffalo County, Wisconsin",55,011,0.3931,0.0111,87188,7942,28,14.8660687473185,3.29411764705882,1.72647758388086,67,34.3947670438397,6.78824721377913,3.39369508755567,91,48,1.62037037037037,0.853851881732737,1425,161.734350092984,25.3739316239316,2.81745461359968,76,28.6356421265527,0.119309262166405,0.0442963210209454,646,105.347045520983,24.7414783607813,3.84391012453534,144,46.0760241340331,25.3075571177504,6.94435159449375,217,52.3545604508337,26.271186440678,5.8851472117189,122,43.0232495285979,14.7699757869249,5.03774522282074,186,50.1597448159378,22.5181598062954,5.72772282514199,675,105.726061120237,83.2305795314427,10.6688207640747,25.3075571177504,6.94435159449375,144,46.0760241340331,24.0066225165563,6.54450800719211,145,45.0444225182208
county,0500000US55013,"Burnett County, Wisconsin",55,013,0.4502,0.0152,73750,10061,38,17.0293863659264,5.08701472556894,2.26192611674566,74,32.1403173599764,9.19254658385093,3.85447568691311,175,43,2.50393475461439,0.612675968446276,1731,141.255088403923,24.7674917727858,1.94301753152117,119,39.2045915678253,0.195081967213115,0.061692668875762,1298,151.759678439301,48.2527881040892,5.37055810817916,215,56.8770604022395,52.4390243902439,10.8498703604394,367,78.0256368125246,49.9319727891157,10.2620464252301,173,51.2932744129286,23.5374149659864,6.86010951843582,344,76.759364249582,46.8027210884354,10.128080548693,590,83.240615086627,81.3793103448276,10.4176587582569,50.6329113924051,10.809175648743,200,53.9536838408649,40.5940594059406,10.3930586560044,164,49.4873721266345
county,0500000US55015,"Calumet County, Wisconsin",55,015,0.4083,0.0156,113330,3753,6,8.94427190999916,0.188976377952756,0.281545507563616,206,90.6697303403953,4.58490985978188,1.98776883739735,300,116,1.44843568945539,0.559795368384654,4075,442.124416878326,19.674584781769,2.12169547944223,201,80.6225774829855,0.0768642447418738,0.0305199099978678,2489,371.32600232141,20.926517571885,3.06253070214165,479,133.082681067072,20.7809110629067,5.19312883811288,694,169.24538398432,21.9134827912851,5.28235299747388,446,140.13564856952,14.0827281338806,4.39417833572028,616,161.691063451262,19.4505841490369,5.05467555521496,2350,222.378056471406,75.8553905745642,6.60277147254943,19.3818984547461,5.22365708239775,439,130.042300810159,14.5491803278689,4.45967447460039,355,116.249731182485
county,0500000US55017,"Chippewa County, Wisconsin",55,017,0.4204,0.0178,93523,7193,193,66.6033032213869,4.62275449101797,1.58788769003526,395,149.682998366548,8.00405268490375,2.95870803760977,465,173,1.76631466990808,0.656893435686099,6361,576.195279397532,24.1624249791081,2.17451389882693,528,153.182897217672,0.154295733489188,0.0435860121791576,5460,600.778661405347,38.7508871540099,4.13211825411441,1033,224.762096448667,35.6822107081175,6.39860613170772,1763,328.432641495939,43.3169533169533,7.92883531700144,951,258.296341437505,23.3660933660934,6.29450983065254,1546,313.781771299736,37.985257985258,7.59648621996671,2983,359.590044356069,73.964790478552,8.52738491662138,35.2573018080668,6.46279129668217,1014,224.381371775823,23.5470941883768,5.4943581353256,705,183.34393908717
county,0500000US55019,"Clark County, Wisconsin",55,019,0.4118,0.0103,78443,5435,1165,125.936491931449,33.9254513686663,3.55915901161737,352,67.7347768875044,12.6255380200861,2.29465852529014,267,42,2.11083880148628,0.330460031411765,2658,189.728753751244,21.0135188552455,1.46491713568799,624,111.211510195663,0.231711845525436,0.0391154505173139,4369,346.153145298436,43.5332801913113,3.32473178462301,813,109.494292088675,44.0411700975081,4.68454159176761,1644,231.231485745346,49.3841994592971,6.72563062357913,981,198.227142440181,29.4683088014419,5.86379451921802,1528,228.411908621245,45.8996695704416,6.66894186983178,1662,163.829179330179,50.0150466445983,4.59914711820557,43.6442989634479,4.74322483619623,800,109.494292088675,17.7859391395593,3.46237322495219,339,70.8519583356734
